title,year,location,project_id,publication_date
The Hotel Britomart / Cheshire Architects,2021,"Auckland, New Zealand",980010,2022-04-16T21:00:00.000Z
OR Atelier / LAS DESIGN,2022,"Chongqing, China",979995,2022-04-16T19:00:00.000Z
Casa Dotta / Galeria 733,2020,Brazil,979749,2022-04-16T17:00:00.000Z
Collegio di Milano / Piuarch,2020,"Milano, Italy",979939,2022-04-16T15:00:00.000Z
Dō-maru House / Materiadarchitettura,2019,"Plaino, Italy",980258,2022-04-16T13:00:00.000Z
185 Avenue Charles de Gaulle Office Building / Arte Charpentier,2021,"Neuilly-sur-Seine, France",979785,2022-04-16T11:00:00.000Z
Icicle Store / Bernard Dubois ,2022,"Paris, France",979996,2022-04-16T09:00:00.000Z
Hidden Hour Bar / all around design company,2021,South Korea,980238,2022-04-16T06:00:00.000Z
Bally Flagship Store Milan / Casper Mueller Kneer Architects,2019,"Milan, Italy",980018,2022-04-16T02:00:00.000Z
KoAi Store / Portal 92,2022,"New Delhi, India",980100,2022-04-15T22:00:00.000Z
Ebina Art Freeway House and Atelier  / GROUP + Yui Kiyohara + Arata Mino,2021,"Ebina, Japan",980069,2022-04-15T20:00:00.000Z
House in Tasmania / Architect George,2021,Australia,980241,2022-04-15T18:00:00.000Z
Matorral Building / ALH Taller,2017,"Medellin, Colombia",980039,2022-04-15T16:00:00.000Z
Quotient Technology Office / Switchup,2022,"Tel Aviv-Yafo, Israel",980243,2022-04-15T14:00:00.000Z
ZAC NIEL Apartments / Taillandier Architectes Associés + Scalène Architectes,2020,"Toulouse, France",980099,2022-04-15T12:00:00.000Z
Canteen and Media Center of the Vocational School Center North / wulf architekten,2021,"Darmstadt, Germany",980262,2022-04-15T10:00:00.000Z
Montréal Insectarium / Kuehn Malvezzi + Pelletier De Fontenay + Jodoin Lamarre Pratte architectes ,2022,"Montréal, Canada",980211,2022-04-15T07:00:00.000Z
Tropical Shed / Laurent Troost Architectures,2021,"Manaus, Brazil",980176,2022-04-15T06:00:00.000Z
Lily Pad / Saunders Architecture,2020,Canada,980154,2022-04-15T03:00:00.000Z
Service Building Kreuzbergpass / Pedevilla Architects + willeit architektur,2020,"Sexten, Italy",979632,2022-04-15T02:00:00.000Z
FUJITA MUSEUM / TAISEI DESIGN Planners Architects & Engineers,2020,"Osaka, Japan",980242,2022-04-15T01:00:00.000Z
TQ House / MDarchitects,2021,"Ho Chi Minh City, Vietnam",980240,2022-04-15T00:00:00.000Z
Buoyant Hue House / Mindspark Architects,2020,"Kottayam, India",979999,2022-04-14T22:00:00.000Z
Folding Screen Row House  / DOG,2021,"Setagaya City, Japan",980164,2022-04-14T20:00:00.000Z
Forty Five NE 41 Street / RoyalByckovas,2020,"Miami, United States",980180,2022-04-14T18:00:00.000Z
Che' Che' House / Javier Puga Estudio,2021,"Mérida, Mexico",980199,2022-04-14T16:00:00.000Z
Marinha-Grande House / Contaminar Arquitectos,2020,"Marinha Grande, Portugal",980209,2022-04-14T14:00:00.000Z
Niederwangen-Ried School and Sports Fields / Büning-Pfaue Kartmann Architekten,2021,"Köniz, Switzerland",980156,2022-04-14T12:00:00.000Z
Paros Residence / Studio Seilern Architects,2021,"Makria Miti, Greece",980159,2022-04-14T10:00:00.000Z
Procuratie Vecchie Restoration / David Chipperfield Architects,2022,"Venezia, Italy",980179,2022-04-14T07:00:00.000Z
House of Earth and Stone / STUDIO MOTLEY,2021,"Bengaluru, India",980177,2022-04-14T06:00:00.000Z
UNTITLED House / Atelier JQTS,2021,"Cascais, Portugal",980032,2022-04-14T03:00:00.000Z
Avila Warehouse Conversion / Allaround Lab,2022,"Barcelona, Spain",979754,2022-04-14T02:00:00.000Z
Stubberupgaard Supportive Housing / Leth & Gori,2021,"Borup, Denmark",980153,2022-04-14T01:00:00.000Z
Pergola / Takayuki Kuzushima and Associates,2021,"Shizuoka, Japan",980178,2022-04-14T00:00:00.000Z
PYTK Parking Complex / Urban Ark Architects,2021,"Pyeongtaek-si, South Korea",980081,2022-04-13T22:00:00.000Z
Hender Scheme Kuaramae / DDAA,2021,"Taito City, Japan",980170,2022-04-13T20:00:00.000Z
Prairie House / Arch.Lab,2020,"Chandigarh, India",980085,2022-04-13T18:00:00.000Z
Cuernavaca Guest Bathrooms / Mario Herrera Holgado,2022,"Cuernavaca, Mexico",980166,2022-04-13T16:00:00.000Z
ER House / Jobim Carlevaro Arquitetos,2020,"Florianópolis, Brazil",980005,2022-04-13T14:00:00.000Z
Mercure Hotel Valkenburg / MoederscheimMoonen Architects,2020,"Valkenburg, The Netherlands",980094,2022-04-13T12:00:00.000Z
025 Concrete Home / ŠA Atelier,2021,"Vilnius, Lithuania",980096,2022-04-13T10:00:00.000Z
Qintai Art Museum / Atelier Deshaus,2022,"Wuhan, China",980063,2022-04-13T07:00:00.000Z
Itatiba House / 24 7 Arquitetura,2021,"Itatiba, Brazil",980058,2022-04-13T06:00:00.000Z
Hiža Mišljenova House / Entasis,2021,"Puhovac, Bosnia and Herzegovina",980086,2022-04-13T03:00:00.000Z
Bagattenstraat House / NU architectuuratelier,2019,"Ghent, Belgium",958811,2022-04-13T02:00:00.000Z
The Hyundai Seoul Store / Burdifilek,2021,South Korea,980115,2022-04-13T01:00:00.000Z
Hue House / SPNG Architects,2020,"Bảo Lộc, Vietnam",980079,2022-04-13T00:00:00.000Z
Garrya Nijo Castle Kyoto Hotel / TAISEI DESIGN Planners Architects & Engineers + Jun Mitsui & Associates Architects,2020,"Kyoto, Japan",980071,2022-04-12T22:00:00.000Z
Caper Residence / Su.En Studio,2021,"Palakkad, India",980003,2022-04-12T20:00:00.000Z
River House / AW Architects,2020,"Christchurch, New Zealand",980078,2022-04-12T18:00:00.000Z
G+G House / Robert Gurney Architect,2021,"Falls Church, United States",980109,2022-04-12T16:00:00.000Z
ULISSEIA / Atelier JQTS,2019,"Lisboa, Portugal",980007,2022-04-12T14:00:00.000Z
The Rural Municipal Building in Saue / molumba,2021,"Saue, Estonia",980013,2022-04-12T12:00:00.000Z
Jeffrey’s Place / Tasou Associates,2018,"London, United Kingdom",980016,2022-04-12T10:00:00.000Z
Rogač House  / Studio Archaos,2021,"Vis, Croatia",980031,2022-04-12T07:00:00.000Z
"800 Fulton Market / Skidmore, Owings & Merrill",2021,"Chicago, United States",980017,2022-04-12T06:00:00.000Z
La Criolla Cultural Center / estudio relativo,2015,"La Criolla, Argentina",980030,2022-04-12T03:00:00.000Z
Melides House / Fragmentos,2021,"Grândola, Portugal",980015,2022-04-12T02:00:00.000Z
Narrow Brick House / Srijit Srinivas - ARCHITECTS,2022,India,979989,2022-04-12T01:00:00.000Z
Buduo Teahouse / Wanmu Shazi,2022,"Xiamen, China",979957,2022-04-12T00:00:00.000Z
Weekend House in Kirishima / EAL,2021,"Kagoshima, Japan",980000,2022-04-11T22:00:00.000Z
Studio by the Hill / Mind Manifestation Design,2022,"Pune, India",979912,2022-04-11T20:00:00.000Z
Permeable Junction Boarding House / Andyrahman Architect,2019,"Surabaya, Indonesia",979922,2022-04-11T18:00:00.000Z
Get In Get Out Installation / CLB Architects,2020,"Jackson, United States",979351,2022-04-11T16:00:00.000Z
HOUSE FB / Gallego Arquitectura + Vniubo Arquitectura,,"Tarragona, Spain",979368,2022-04-11T14:00:00.000Z
Campus Osijek Student Residence / NFO,2022,"Osijek, Croatia",979941,2022-04-11T12:00:00.000Z
Paraíso Apartment / RUÍNA + Elky Santos,2022,"São Paulo, Brazil",979949,2022-04-11T10:00:00.000Z
FÆNGSLET Vestsalen Transformation / Cubo Arkitekter,2021,"Horsens, Denmark",979919,2022-04-11T07:00:00.000Z
Terrace House / Austin Maynard Architects,2021,"Brunswick, Australia",979905,2022-04-11T06:00:00.000Z
AA308 Offices / MCVR Studio,2021,"Dehesas, Spain",979811,2022-04-11T03:00:00.000Z
Laranjal House / Lisbonwood + Pedro Marques Alves,2019,"Palmela, Portugal",979967,2022-04-11T02:00:00.000Z
Dasht-e-Chehel Villa / 35-51 ARCHITECTURE Office,2019,"Mosha, Iran",979913,2022-04-11T01:00:00.000Z
Muzha Manor / CYS.ASDO,2021,"Taipei City, China",979911,2022-04-11T00:00:00.000Z
Stable House / Sibling Architecture,2021,"Sydney, Australia",979907,2022-04-10T23:00:00.000Z
Service Center of the Desert Galaxy Camp / 3andwich Design,2021,"Zhongwei, China",979839,2022-04-10T21:00:00.000Z
Bosqueazul House / ALH Taller de Arquitectura,2021,0,979865,2022-04-10T19:00:00.000Z
Gardenia Apartments / Studio Saxe,2021,"San José, Costa Rica",979929,2022-04-10T17:00:00.000Z
The Sea Ranch Lodge  / Mithun,2021,"Sonoma County, United States",979719,2022-04-10T15:00:00.000Z
EM Apartment / Nuno Nascimento Arquitectos,2021,"Lisbon, Portugal",979731,2022-04-10T13:00:00.000Z
Tini M Refuge / tini + delavegacanolasso,2022,"Madrid, Spain",979582,2022-04-10T11:00:00.000Z
Ode to Nature House / Milwicz Architekci,2022,"Poznań, Poland",979924,2022-04-10T09:00:00.000Z
Merkem Community Centre / Rapp+Rapp,2012,"Houthulst, Belgium",979622,2022-04-10T06:00:00.000Z
10 Fold House / Timmins+Whyte Architects,2020,"Abbotsford, Australia",979914,2022-04-10T02:00:00.000Z
Dream Glow Pavilion / Daxing Jizi Design,2021,"Shenzhen, China",979850,2022-04-09T23:00:00.000Z
The Green Silhouette Residential Building / Archismith Architects,2021,"Khet Phaya Thai, Thailand",979923,2022-04-09T21:00:00.000Z
Miter House on Kansas Street / Levy Art + Architecture,2020,"San Francisco, United States",979689,2022-04-09T19:00:00.000Z
Romea Morelos Restaurant / Antumbra estudio,2021,"Guadalajara, Mexico",979649,2022-04-09T17:00:00.000Z
Armcrescent Residence / Peter Braithwaite Studio,2021,"Halifax, Canada",979252,2022-04-09T15:00:00.000Z
Moou Building / FGMF,2020,"São Paulo, Brazil",979783,2022-04-09T13:00:00.000Z
Decantei Tavern / Pedevilla Architects,2019,"Bresanona, Italy",979650,2022-04-09T11:00:00.000Z
House MV / Wim Heylen Architect,2021,"Lochristi, Belgium",979423,2022-04-09T09:00:00.000Z
Evacuation Stairs in Teresianas Ganduxer / Picharchitects/Pich-Aguilera,2022,"Barcelona, Spain",979572,2022-04-09T06:00:00.000Z
House of the Flying Trees  / Open AD,2021,"Riga, Latvia",979087,2022-04-09T02:00:00.000Z
3ASH House / Czarl Architects,2021,"Singapore, Singapore",979906,2022-04-08T22:00:00.000Z
Woollahra House / MGAO,2021,"Woollahra, Australia",979863,2022-04-08T20:00:00.000Z
Riverside Main Library / Johnson Favaro,2021,"Riverside, United States",979851,2022-04-08T18:00:00.000Z
"Arguedas House / Seibert Architects, P.A.",2021,"Sarasota, United States",979262,2022-04-08T16:00:00.000Z
S&R Residence / VOO® Arquitetura e Engenharia,2020,"Blumenau, Brazil",979413,2022-04-08T14:00:00.000Z
Greencity Hotel and Office Building / Gigon / Guyer Architekten,2021,"Zurich, Switzerland",979824,2022-04-08T12:00:00.000Z
Braem House / Machteld D'Hollander,2020,"Wachtebeke, Belgium",979789,2022-04-08T10:00:00.000Z
Rehabilitation of Can Luna Industrial Complex / Nil Brullet Arquitectura + Maria Morillo Sedó,2019,Spain,979736,2022-04-08T07:00:00.000Z
Panda Tower / UDG. Atelier Alpha,2021,"Chengdu, China",979774,2022-04-08T06:00:00.000Z
Frastanz Hofen Education Center / Pedevilla Architects,2021,"Frastanz, Austria",979661,2022-04-08T03:00:00.000Z
House FRU / Roberto Lebrero + Borja Gómez,2020,"Frumales, Spain",979679,2022-04-08T02:00:00.000Z
Design Unit Studio / STA,2021,"Khet Phra Nakhon, Thailand",979845,2022-04-08T01:00:00.000Z
The Covered Market of Lamure-sur-Azergues / Élisabeth Polzella Architecte + Atelier NAO,2017,"Lamure-sur-Azergues, France",979866,2022-04-08T00:00:00.000Z
Yuxuan Bridge Tong Guan Stage & Xuan Xing Tower / Atelier Diameter,2020,"Shanghai, China",979535,2022-04-07T22:00:00.000Z
A49 Phuket Office Renovation / Architects 49 (Phuket) Limited,2020,"Tambon Talat Nuea, Thailand",979847,2022-04-07T20:00:00.000Z
Renovation of a Minka / raumus,2021,"Okayama, Japan",979701,2022-04-07T18:00:00.000Z
Accessory Dwelling Unit Re-Think / Yeh-Yeh-Yeh Architects,2020,"Los Angeles, United States",979696,2022-04-07T16:00:00.000Z
Auta House / Meius Arquitetura,2021,Brazil,979819,2022-04-07T14:00:00.000Z
Hilton Garden Inn Boston - Brookline / CambridgeSeven,2021,"Brookline, United States",979702,2022-04-07T12:00:00.000Z
Kiosque Contours / Atelier Craft,2021,"Clichy, France",979730,2022-04-07T10:00:00.000Z
Peterhof Alpe Furx Hotel / Baumschlager Eberle Architekten,2021,"Batschuns, Austria",979795,2022-04-07T07:00:00.000Z
Casa Mãe / Atelier Data,2021,"Alcácer do Sal, Portugal",979738,2022-04-07T06:00:00.000Z
House of Music and Theater / Arias Garrido Arquitectos,2021,"Arroyo de la Encomienda, Spain",979497,2022-04-07T03:00:00.000Z
F51 Folkestone Skatepark / Hollaway Studio,2022,"Folkestone, United Kingdom",979753,2022-04-07T02:00:00.000Z
Patio Houses in Salou / NUA Arquitectures,2021,Spain,979799,2022-04-07T01:00:00.000Z
Lighthouse Residential Building / YSLA Architects,2020,"Shinjuku City, Japan",951349,2022-04-07T00:00:00.000Z
"Forest Pavilion, The Forestias / Foster + Partners + TK Studio",2020,"Pak Nam, Thailand",979786,2022-04-06T22:00:00.000Z
Northcote Terrace / Lovell Burton Architecture,2021,"Northcote, Australia",979697,2022-04-06T20:00:00.000Z
Tripod House / Fieldwork Design & Architecture,2020,"Portland, United States",979543,2022-04-06T18:00:00.000Z
Theater En la Orilla / Estudio Arzubialde,2019,"Pueblo Esther, Argentina",979700,2022-04-06T16:00:00.000Z
House in Santo Tirso 2 / Nuno Brandão Costa,2019,"Santo Tirso, Portugal",979561,2022-04-06T14:00:00.000Z
Le bâtiment descendant l’escalier Building / Elastico Farm,2021,"Lido di Jesolo, Italy",979724,2022-04-06T12:00:00.000Z
ICS Integrated Comprehensive School / Bez+Kock Architekten,2021,"Rinteln, Germany",979707,2022-04-06T10:00:00.000Z
Quesada 3155 Building / Diego Cherbenco + Gustavo Robinsohn,2020,"Coghlan, Argentina",979727,2022-04-06T07:00:00.000Z
House G / Pedevilla Architects,2021,"Gossensass-Colle Isarco, Italy",979628,2022-04-06T03:00:00.000Z
Collage House / FATBOY FACTORY,2021,Thailand,979704,2022-04-06T02:00:00.000Z
Gold Digger Installation / Nicola Baldassarre + Salvatore Dentamaro + Francesco Di Salvo + Ilyass Erraklaouy,2021,"Tortosa, Spain",979624,2022-04-06T01:00:00.000Z
Ice Su House / Junsekino Architect and Design,2021,"Bangkok, Thailand",979699,2022-04-06T00:00:00.000Z
Talaga Sampireun Pavilions / Seniman Ruang,2021,"Bekasi, Indonesia",979698,2022-04-05T22:00:00.000Z
House in SouthMinoh / FujiwaraMuro Architects,2021,"Minoo, Japan",979603,2022-04-05T20:00:00.000Z
Yusun-gwan Hotel / Chakchak Studio,2021,"Haenam, South Korea",979608,2022-04-05T18:00:00.000Z
Nazca House / Ignacio Szulman arquitecto,2021,"Villa Pueyrredon, Argentina",979513,2022-04-05T16:00:00.000Z
House in Santa Joana / nu.ma architects,2020,"Aveiro, Portugal",979540,2022-04-05T14:00:00.000Z
Monument Majer / N/A,2019,"Banská Bystrica, Slovakia",979613,2022-04-05T12:00:00.000Z
House Aqua Bad Cortina / Pedevilla Architects,2020,"San Vigilio di Marebbe, Italy",979625,2022-04-05T07:00:00.000Z
Athita Hidden Court Chiang Saen Boutique Hotel / Studio Miti,2020,Thailand,979616,2022-04-05T06:00:00.000Z
JF House / Rocco Arquitetos,2021,"Ibiúna, Brazil",979581,2022-04-05T03:00:00.000Z
Flow Gallery / John Pardey Architects,2015,"London, United Kingdom",917625,2022-04-05T02:00:00.000Z
ARI Residence / micelle,2017,Japan,977937,2022-04-05T01:00:00.000Z
Octagram Plaza / RAD+ar (Research Artistic Design + architecture),2021,"South Tangerang, Indonesia",979601,2022-04-05T00:00:00.000Z
Kappa House / Archipelago Architects Studio,2021,Japan,979605,2022-04-04T22:00:00.000Z
FEI X MIE Collaboration Store / NEME Studio Architects,2021,"Foshan, China",976357,2022-04-04T20:00:00.000Z
SSAP Coffee / design by 83,2021,"Nam-gu, South Korea",979602,2022-04-04T18:00:00.000Z
Art House / Buttrick Projects Architecture+Design,2019,"Palo Alto, United States",979544,2022-04-04T16:00:00.000Z
Colchetes Café / Estúdio Brasileiro de Arquitetura,2021,"Pinheiros, Brazil",979558,2022-04-04T14:00:00.000Z
Reforma Offices / Circuito,2022,"Mineral de la Reforma, Mexico",979545,2022-04-04T12:00:00.000Z
Vertes Retreat / W O V E N Architecture and Design,2020,"Sakinaw Lake, Canada",979352,2022-04-04T10:00:00.000Z
Restaurant of Metasequoia Grove in Shan Wan Village / goa,2021,"Suzhou, China",979531,2022-04-04T07:00:00.000Z
House In Nakijin / Studio Cochi Architects,2021,"Nakijin, Japan",979477,2022-04-04T06:00:00.000Z
"Ca L’Àgata House / El Fil Verd, Estudi d'Arquitectura",2020,"Barcelona, Spain",979568,2022-04-04T03:00:00.000Z
Marsotto Milan Showroom / nendo,2020,"Bovolone, Italy",979525,2022-04-04T02:00:00.000Z
Picalo Cabin / Gerard Dombroski Workshop,2021,"Coromandel, New Zealand",979529,2022-04-04T01:00:00.000Z
House Schwab / Architekturbüro Huber,2020,"Kottgeisering, Germany",959490,2022-04-04T00:00:00.000Z
Three Boxes Neighborhood Facility / raumst,2021,"Yangpyeong-gun, South Korea",979396,2022-04-03T23:00:00.000Z
AVENUE & SON Flagship Store / Various Associates,2021,"Shanghai, China",979472,2022-04-03T21:00:00.000Z
Improvement in the Courtyards of the University of Malaga / DJarquitectura,2020,Spain,959153,2022-04-03T19:00:00.000Z
Taylor & Chatto Courts + Wilmott Court Frampton Park Estate / Henley Halebrown,2021,"London, United Kingdom",979512,2022-04-03T17:00:00.000Z
Five Shadows Residence / CLB Architects,2019,"Teton Village, United States",979345,2022-04-03T15:00:00.000Z
House in Trancoso / David Bastos,2021,"Trancoso, Brazil",979496,2022-04-03T13:00:00.000Z
Houses in between Trees / Sitio Arquitectura,2020,"San Miguel de Tucumán, Argentina",979498,2022-04-03T11:00:00.000Z
Skatebird Skatepark / Gelpi Projects,2022,"Miami, United States",979490,2022-04-03T09:00:00.000Z
Maison UGO / Brulé Architectes Associés,2019,"Concarneau, France",979554,2022-04-03T06:00:00.000Z
Dreamscape Apartment / Red5studio,2021,Vietnam,979530,2022-04-03T02:00:00.000Z
Beton Brut Residence / The Grid Architects,2022,"Ahmedabad, India",979539,2022-04-02T23:00:00.000Z
Overwolf Office / Switchup,2022,"Ramat Gan, Israel",979400,2022-04-02T21:00:00.000Z
Villa C.H. / Plan R Studio,2021,"Abiyán, Côte d'Ivoire",979424,2022-04-02T20:00:00.000Z
KClighting Global Flagship Showroom / E Studio,2021,"Zhongshan, China",979318,2022-04-02T19:00:00.000Z
Loch Tummel House  / WT Architecture,2019,United Kingdom,979417,2022-04-02T17:00:00.000Z
House for a Family and Bikes / AZIA Arhitektid,2021,"Tallinn, Estonia",979492,2022-04-02T15:00:00.000Z
Pool Bar / LUCAS LAGE ARQUITETURA,2019,"Mangabeiras, Brazil",979369,2022-04-02T13:00:00.000Z
Nest Apartment / TVARY,2021,"Ostrava, Czech Republic",979418,2022-04-02T11:00:00.000Z
Stellar 32 / RDR architectes,2020,"Genève, Switzerland",979095,2022-04-02T09:00:00.000Z
Sumu Fumu Terrace / nendo,2022,"Minato City, Japan",979527,2022-04-02T06:00:00.000Z
Yanho Restaurant / Informal Design,2021,"Huizhou, China",979452,2022-04-02T02:00:00.000Z
Nagalingam Veedu Residence / Khosla Associates,2021,"Chennai, India",979295,2022-04-01T22:00:00.000Z
Rooted House / Triple O Studio,2021,"Chennai, India",979247,2022-04-01T20:00:00.000Z
Plume Installation / CLB Architects,2022,"Jackson, United States",979349,2022-04-01T18:00:00.000Z
Requena Office / Mola Kunst,2021,"Montevideo, Uruguay",979488,2022-04-01T16:00:00.000Z
House to The River / Martin Sabbatini,2021,"Villa General Belgrano, Argentina",979443,2022-04-01T14:00:00.000Z
BM Residence / Belluzzo Martinhao Arquitetos,2021,"Itatiba, Brazil",979403,2022-04-01T12:00:00.000Z
House in Monte el Pardo / Slow Studio,2021,"Torrelodones, Spain",978973,2022-04-01T10:00:00.000Z
House In Majabaru / Studio Cochi Architects,2021,"Nanjo, Japan",979486,2022-04-01T07:00:00.000Z
Shelter of a Wall House / Agora Arquitectura,2021,"El Bajo Ampurdán, Spain",979456,2022-04-01T06:00:00.000Z
Camp Sarika / Amangiri + Luxury Frontiers,2020,United States,979487,2022-04-01T03:00:00.000Z
Little Faktory Hair Studio / Westblom Krasse Arkitektkontor,2021,"Stockholm, Sweden",979416,2022-04-01T02:00:00.000Z
Urban Star Installation / ANNABAU,2020,"Augsburg, Germany",979420,2022-04-01T01:00:00.000Z
Yangzhou Grand Canal Theatre / TJAD,2021,"Yangzhou, China",979457,2022-04-01T00:00:00.000Z
The Vietnam Institute for Advanced Study in Mathematics / 1+1>2 Architects,2020,Vietnam,979475,2022-03-31T22:00:00.000Z
Wall to Wall House / moad,2020,"Chennai, India",979359,2022-03-31T20:00:00.000Z
Artlist Office / Switchup,2022,"Tel Aviv-Yafo, Israel",979398,2022-03-31T18:00:00.000Z
A Paradise in the Mountains of Ilalo /  La cabina de la curiosidad + Marie Combette + Daniel Moreno Flores,2021,"El Tingo, Ecuador",979437,2022-03-31T16:00:00.000Z
House FT  / Leonardo Junqueira Arquitetura,2021,Brazil,979291,2022-03-31T14:00:00.000Z
Cultural Center Flying Roof / OVERCODE architecture urbanisme,2021,"Quédillac, France",979354,2022-03-31T12:00:00.000Z
Offices in Pasaje Mas de Roda / Garcés-de Seta-Bonet Arquitectes,2021,"Barcelona, Spain",979439,2022-03-31T10:00:00.000Z
BEEAH Headquarters  / Zaha Hadid Architects,2022,"Sharjah, United Arab Emirates",979479,2022-03-31T09:00:00.000Z
Grand World Phu Quoc Welcome Center / VTN Architects,2021,"Phu Quoc, Vietnam",979408,2022-03-31T07:00:00.000Z
Herbert Wehner Haus / JWA Berlin + Hinrichs Wilkening Architekten,2019,"Dresden, Germany",979405,2022-03-31T06:00:00.000Z
5280 Courtyard House / Barkow Leibinger,2020,"Bozeman, United States",979419,2022-03-31T03:00:00.000Z
Pizzicarola Store  / SUPERVOID,2022,"Roma, Italy",979431,2022-03-31T02:00:00.000Z
BMT House / K.A Studio + AD9 Architects,2020,"Buon Ma Thuot, Vietnam",979324,2022-03-31T01:00:00.000Z
In S&N Resort / penda ,2021,"Beijing, China",979229,2022-03-31T00:00:00.000Z
NPK Micro Town House / MM++ architects,2022,"Ho Chi Minh City, Vietnam",979326,2022-03-30T22:00:00.000Z
Aatam Hostel & House / Sameep Padora & Associates,2022,"Kota, India",979397,2022-03-30T20:00:00.000Z
Pargot Restaurant / RA!,2022,"Mexico City, Mexico",979264,2022-03-30T18:00:00.000Z
Tengoku Residence / CLB Architects,2021,"Jackson, United States",979350,2022-03-30T16:00:00.000Z
Wine List Bar  / COLLARCH,2021,"Prague 8, Czech Republic",979357,2022-03-30T14:00:00.000Z
Waynflete Lower School / Simons Architects,2018,"Portland, United States",979360,2022-03-30T12:00:00.000Z
Navarcles Health Center / Valor-Llimós,2021,"Navarcles, Spain",979370,2022-03-30T10:00:00.000Z
The Cellar House / Taller Verde Arquitectura,2021,"Merida, Mexico",979292,2022-03-30T07:00:00.000Z
Jokopi MERR Café / ARA Studio,2021,"Kecamatan Rungkut, Indonesia",979331,2022-03-30T06:00:00.000Z
Paddenbroek Education Centre / jo taillieu architecten,2020,"Gooik, Belgium",958845,2022-03-30T03:00:00.000Z
CS House / Memola Estúdio + Vitor Penha,2019,Brazil,979325,2022-03-30T02:00:00.000Z
Sala Bang Pa-In Hotel / Department of ARCHITECTURE,2021,"Phra Nakhon Si Ayutthaya, Thailand",979353,2022-03-30T01:00:00.000Z
Xian County Sunshine Kindergarten / People's Architecture Office,2020,"Cangzhou, China",977784,2022-03-30T00:00:00.000Z
The Hill House / Wahana Architects,2020,"Batu Layar, Indonesia",979319,2022-03-29T22:00:00.000Z
Sculptform Design Studio / Woods Bagot,2020,"Melbourne, Australia",979236,2022-03-29T20:00:00.000Z
House ST / 1-1 Architects,2021,Japan,979237,2022-03-29T18:00:00.000Z
PMC House / Rocco Arquitetos,2021,"Ibiúna, Brazil",979280,2022-03-29T16:00:00.000Z
FaceTime Installation / CLB Architects,2019,"Teton Village, United States",979343,2022-03-29T14:00:00.000Z
Greenpoint Library and Environmental Education Center / Marble Fairbanks Architects,2020,"Brooklyn, United States",979294,2022-03-29T12:00:00.000Z
Bogen Restaurant  / noa* network of architecture,2021,"Bolzano, Italy",979278,2022-03-29T10:00:00.000Z
Argo Contemporary Art Museum & Cultural Centre / Ahmadreza Schricker Architecture North - ASA North,2020,"Tehran, Iran",979255,2022-03-29T07:00:00.000Z
Pitaya House / Taller General + Jose María Sáez,2020,Ecuador,979271,2022-03-29T06:00:00.000Z
VIA University College Campus Horsens / C.F. Møller,2021,"Horsens, Denmark",979265,2022-03-29T03:00:00.000Z
FL Residence / Anastasia Arquitetos,2022,"Santa Cruz Cabrália, Brazil",979272,2022-03-29T02:00:00.000Z
Bofia Restaurant / AZAZ Architects,2022,"Riyadh, Saudi Arabia",979246,2022-03-29T01:00:00.000Z
Saikodayo House / 2M26,2017,"Numazu, Japan",979223,2022-03-29T00:00:00.000Z
Viewshine Headquarters / gad + line+,2021,"Hangzhou, China",979186,2022-03-28T22:00:00.000Z
Soui Flagship Store / HOFFICE,2022,"Seongdong-gu, Seoul, South Korea",979245,2022-03-28T20:00:00.000Z
Nido II House / Angelucci Architects,2022,"Carlton North, Australia",979233,2022-03-28T18:00:00.000Z
Terrazas House / Octava Estudio Cba,2022,"Villa Allende, Argentina",979117,2022-03-28T16:00:00.000Z
Scale Less Installation / Colab-19 + MoBo,2022,United Kingdom,979137,2022-03-28T14:00:00.000Z
Pátio Residence / Arquitetura Gui Mattos,2019,"Monte Mor, Brazil",979150,2022-03-28T12:00:00.000Z
Ouchy II Apartments / RDR architectes,2021,"Lausanne, Switzerland",979098,2022-03-28T10:00:00.000Z
Hlöðuberg Artist Studio / Studio Bua,2021,"Dalabyggð, Iceland",979147,2022-03-28T07:00:00.000Z
Casa E15 / Centro Cero,2021,"Marcos Paz, Argentina",979129,2022-03-28T06:00:00.000Z
Project U Building / archipelago,2022,"Uccle, Belgium",979200,2022-03-28T03:00:00.000Z
House In a Haberdashery / OOIIO Arquitectura,2021,"Madrid, Spain",979136,2022-03-28T02:00:00.000Z
U-Market / Behet Bondzio Lin Architekten,2016,"Wanhua District, China",979130,2022-03-28T02:00:00.000Z
The Epicurus House / Vihar Fadia Architects,2021,"Ahmedabad, India",979090,2022-03-28T00:00:00.000Z
The Wing of Swallow / TJAD Original Design Studio,2020,"Shenzhen, China",960203,2022-03-27T23:00:00.000Z
Wollumbin House / Harley Graham Architects,2020,"Byron Bay, Australia",979149,2022-03-27T21:00:00.000Z
School Maurice Béjart / KOMBO Architectes + R+4 Architectes,2021,"Juvignac, France",979152,2022-03-27T19:00:00.000Z
No. 91 Beiluoguxiang Siheyuan Renovation / Jiejie Studio,2022,"Beijing, China",979064,2022-03-27T17:00:00.000Z
Caritas Innovation and Quality-of-Life Social Center / TEKTUM,2020,"Târgu Mureș, Romania",979138,2022-03-27T16:00:00.000Z
Saint-Roch YMCA Community Center / STGM Architectes  + CCM2 Architectes,2021,"Quebec, Canada",979144,2022-03-27T13:00:00.000Z
