title,year,location,project_id,publication_date
Yokohama International School / TAISEI DESIGN Planners Architects & Engineers + Kengo Kuma & Associates,2021,"Yokohama, Japan",992579,2022-11-23T00:00:00.000Z
Housing Apartment at Badade Nagar / Studio Frozen Music,2022,"Nashik, India",992589,2022-11-22T22:00:00.000Z
Takamine-cho House / Tomoaki Uno Architects,2021,"Nagoya, Japan",992584,2022-11-22T20:00:00.000Z
Early BKK Café / space+craft,2022,"Bangkok, Thailand",992531,2022-11-22T18:00:00.000Z
2505 Broadway Apartments / ODA New York,2022,"New York, United States",992602,2022-11-22T16:00:00.000Z
Attic Reconstruction in Gliwice / Dyrda Fikus Architekci,2022,"Gliwice, Poland",992556,2022-11-22T14:00:00.000Z
Sui House / Nídia Duarte Arquitetura,2022,"Belo Horizonte, Brazil",992530,2022-11-22T12:00:00.000Z
Apartment AT83 / Eterea Studio,2021,"Mexico City, Mexico",992519,2022-11-22T10:00:00.000Z
Coco House / Duy Le Architects,2021,Vietnam,992496,2022-11-22T07:00:00.000Z
Folhas Sagradas Pavilion / Atelier Daniel Florez,2021,"Tibau do Sul, Brazil",992524,2022-11-22T06:00:00.000Z
Cao Xanh House / HGAA,2021,"Hạ Long, Vietnam",992505,2022-11-22T03:00:00.000Z
Almadraba de Nueva Umbría Landscape Interventions / sol89,2022,"El Rompido, Spain",992532,2022-11-22T02:00:00.000Z
House in Kataseyama / Tamotsu Teshima Architect & Associates,2022,"Yokohama, Japan",992520,2022-11-22T01:00:00.000Z
Witta Circle House / Shaun Lockyer Architects,2020,"Noosa Heads, Australia",992537,2022-11-22T00:00:00.000Z
360° House / YUUA Architects & Associates ,2020,"Sapporo, Japan",992539,2022-11-21T22:00:00.000Z
Haratian House / archoffice | architecture & construction office,2022,"Tehran, Iran",992522,2022-11-21T20:00:00.000Z
NOXON Neighborhood Shop / ON Architects,2019,"Jung-gu, South Korea",992542,2022-11-21T18:00:00.000Z
A3L House / Obra Arquitetos,2021,"São José dos Campos, Brazil",992297,2022-11-21T16:00:00.000Z
Acuerdo House / Positive Livings,2020,"Madrid, Spain",992466,2022-11-21T14:00:00.000Z
Sodu Street Apartments / AKETURI ARCHITEKTAI,2021,"Vilnius, Lithuania",992454,2022-11-21T12:00:00.000Z
House H.L / Celso Laetano Arquitetura,2021,"Piracicaba, Brazil",992432,2022-11-21T10:00:00.000Z
Treehouse Studio  / Stilt Studios,2022,"Kuta Utara, Indonesia",992275,2022-11-21T07:00:00.000Z
Sawerdō Coffee & Bakery / BUREAU,2021,"Geneva, Switzerland",992443,2022-11-21T06:00:00.000Z
Aguacates House / Francisco Pardo Arquitecto,2020,"Valle de Bravo, Mexico",971120,2022-11-21T03:00:00.000Z
Bamboo Workshop / Zaixing Architectural Design,2021,"Yibin, China",992365,2022-11-21T02:00:00.000Z
Tailor - Made Office / Twobo arquitectura,2022,"Sant Cugat del Vallès, Spain",992471,2022-11-21T01:00:00.000Z
Brickwell Mixed Use Building / Society of Architecture,2020,"Jongno-gu, South Korea",992441,2022-11-21T00:00:00.000Z
Kunming Caohai Building Expansion Project of Wen Xing Lou / XAA,2022,"Kunming, China",987330,2022-11-20T23:00:00.000Z
Apartment S / Tsukagoshi Miyashita Sekkei,2021,Japan,992434,2022-11-20T21:00:00.000Z
De Klepperstee Park Central Building / Vakwerk Architecten,2019,"Ouddorp, The Netherlands",992451,2022-11-20T19:00:00.000Z
8 Houses in Alcántara Street / Cristián Izquierdo Lehmann,2019,"Las Condes, Chile",968016,2022-11-20T17:00:00.000Z
CLT House / Unknown Works,2022,"London, United Kingdom",992447,2022-11-20T15:00:00.000Z
KTA Brugge Technical School / Planomatic architecture + Radermacher & Schoffers Architekten,2018,"Bruges, Belgium",992344,2022-11-20T13:00:00.000Z
House on a House / Bloot Architecture,2022,"The Hague, The Netherlands",992330,2022-11-20T11:00:00.000Z
Toto Kitchen Showroom / Studio Avana,2020,"Bandung, Indonesia",992437,2022-11-20T06:00:00.000Z
Fale Marker House / RTA Studio,2022,"Great Barrier Island / Aotea, New Zealand",992430,2022-11-20T02:00:00.000Z
White and Timber House / Kibbin Design Studio,2021,"Gerroa, Australia",992431,2022-11-19T23:00:00.000Z
Red tongue Boutique Store / 134,2022,"Seongnam-si, South Korea",992427,2022-11-19T21:00:00.000Z
BMB House / Fr.376 Architecture,2021,"Hue, Vietnam",992424,2022-11-19T19:00:00.000Z
12.0 Residence / Studio 2+2,2022,"Kanjari, India",992423,2022-11-19T17:00:00.000Z
Vakwerkhuis Offices / Vakwerk Architecten,2020,"Delft, The Netherlands",992048,2022-11-19T15:00:00.000Z
Issy Coeur de Ville Apartments / Valode & Pistre,2022,"Issy-les-Moulineaux, France",992253,2022-11-19T13:00:00.000Z
Villa Hoefsevonder / HILBERINKBOSCH Architecten,2021,"Berlicum, The Netherlands",992254,2022-11-19T11:00:00.000Z
Morchoisne House / Depeyre Morand Architectures,2017,"Morigny-Champigny, France",992303,2022-11-19T09:00:00.000Z
House d+a / mdm09 arquitectura,2021,"Toledo, Spain",991662,2022-11-19T06:00:00.000Z
